-84,-92,-46
-85,-97,-45
-84,-89,-56
-83,-89,-59
-89,-90,-57
-91,-91,-46
-86,-97,-45
-87,-98,-47
-90,-89,-45
-88,-94,-58
-91,-91,-61
-85,-89,-58
-86,-89,-55
-87,-89,-54
-88,-87,-45
-91,-92,-45
-87,-92,-45
-86,-92,-45
-83,-93,-47
-86,-94,-46
-86,-91,-56
-86,-94,-56
-85,-99,-45
-87,-91,-46
-87,-92,-46
-86,-91,-47
-83,-91,-45
-86,-91,-48
-85,-92,-46
-94,-92,-57
-94,-98,-57
-92,-93,-56
-83,-92,-57
-86,-94,-47
-86,-93,-47
-86,-98,-46
-87,-93,-46
-86,-94,-46
-90,-92,-45
-90,-95,-46
-86,-95,-56
-86,-97,-55
-86,-96,-56
-87,-96,-57
-86,-95,-45
-87,-98,-46
-89,-97,-47
-87,-94,-49
-90,-97,-47
-86,-97,-56
-84,-95,-59
-86,-97,-47
-92,-95,-48
-99,-95,-48
-95,-96,-48
-94,-93,-45
-86,-91,-57
-85,-94,-57
-84,-92,-58
-85,-98,-60
-97,-95,-46
-87,-95,-48
-83,-96,-47
-85,-94,-46
-85,-93,-47
-83,-97,-60
-85,-97,-58
-84,-96,-47
-85,-94,-47
-96,-94,-47
-96,-95,-47
-90,-95,-59
-93,-96,-59
-85,-95,-60
-87,-93,-59
-96,-94,-45
-86,-95,-45
-86,-94,-46
-84,-94,-45
-85,-93,-47
-93,-94,-58
-91,-93,-56
-89,-92,-55
-86,-93,-48
-85,-91,-47
-85,-92,-46
-85,-93,-47
-86,-93,-58
-86,-92,-59
-86,-92,-58
-85,-94,-46
-85,-92,-46
-85,-91,-46
-86,-91,-46
-85,-92,-46
-84,-93,-46
-84,-93,-46
-85,-92,-47
-84,-92,-58
-83,-92,-59
