-83,-81,-95
-82,-78,-90
-81,-76,-92
-87,-76,-91
-88,-76,-94
-78,-78,-93
-78,-79,-95
-78,-80,-93
-80,-80,-93
-87,-80,-91
-87,-76,-93
-78,-78,-91
-78,-78,-91
-78,-82,-86
-78,-82,-89
-81,-85,-90
-80,-76,-89
-78,-78,-89
-78,-81,-89
-79,-81,-89
-80,-81,-97
-88,-77,-97
-87,-76,-85
-87,-78,-90
-77,-78,-87
-78,-84,-96
-79,-83,-97
-79,-84,-93
-87,-77,-92
-87,-78,-88
-78,-77,-87
-79,-77,-97
-79,-79,-93
-79,-79,-88
-80,-79,-93
-86,-83,-95
-85,-82,-94
-85,-76,-90
-86,-79,-88
-78,-78,-91
-78,-83,-86
-81,-83,-86
-80,-83,-86
-80,-77,-96
-85,-77,-89
-86,-79,-89
-79,-78,-99
-79,-78,-92
-79,-83,-94
-80,-83,-85
-80,-83,-85
-87,-76,-86
-78,-76,-85
-78,-76,-93
-77,-78,-95
-80,-78,-88
-86,-77,-87
-87,-80,-87
-90,-81,-89
-78,-81,-97
-78,-76,-98
-81,-76,-94
-88,-76,-89
-88,-78,-90
-88,-77,-88
-88,-78,-88
-79,-80,-86
-79,-81,-93
-79,-77,-92
-87,-77,-87
-89,-77,-88
-78,-78,-87
-78,-81,-89
-79,-82,-97
-79,-77,-94
-80,-77,-88
-88,-78,-89
-79,-78,-89
-78,-78,-88
-78,-81,-87
-79,-81,-88
-78,-81,-96
-88,-77,-96
-86,-79,-92
-87,-78,-92
-87,-79,-91
-80,-81,-95
-80,-81,-92
-80,-82,-90
-79,-77,-87
-78,-77,-95
-81,-77,-89
-87,-78,-89
-86,-78,-89
-86,-78,-88
-79,-78,-86
-79,-81,-86
-79,-81,-86
-79,-76,-94
-79,-75,-89
