-84,-92,-76
-85,-97,-75
-84,-89,-86
-83,-89,-89
-89,-90,-87
-91,-91,-76
-86,-97,-75
-87,-98,-77
-90,-89,-75
-88,-94,-88
-91,-91,-91
-85,-89,-88
-86,-89,-85
-87,-89,-84
-88,-87,-75
-91,-92,-75
-87,-92,-75
-86,-92,-75
-83,-93,-77
-86,-94,-76
-86,-91,-86
-86,-94,-86
-85,-99,-75
-87,-91,-76
-87,-92,-76
-86,-91,-77
-83,-91,-75
-86,-91,-78
-85,-92,-76
-94,-92,-87
-94,-98,-87
-92,-93,-86
-83,-92,-87
-86,-94,-77
-86,-93,-77
-86,-98,-76
-87,-93,-76
-86,-94,-76
-90,-92,-75
-90,-95,-76
-86,-95,-86
-86,-97,-85
-86,-96,-86
-87,-96,-87
-86,-95,-75
-87,-98,-76
-89,-97,-77
-87,-94,-79
-90,-97,-77
-86,-97,-86
-84,-95,-89
-86,-97,-77
-92,-95,-78
-99,-95,-78
-95,-96,-78
-94,-93,-75
-86,-91,-87
-85,-94,-87
-84,-92,-88
-85,-98,-90
-97,-95,-76
-87,-95,-78
-83,-96,-77
-85,-94,-76
-85,-93,-77
-83,-97,-90
-85,-97,-88
-84,-96,-77
-85,-94,-77
-96,-94,-77
-96,-95,-77
-90,-95,-89
-93,-96,-89
-85,-95,-90
-87,-93,-89
-96,-94,-75
-86,-95,-75
-86,-94,-76
-84,-94,-75
-85,-93,-77
-93,-94,-88
-91,-93,-86
-89,-92,-85
-86,-93,-78
-85,-91,-77
-85,-92,-76
-85,-93,-77
-86,-93,-88
-86,-92,-89
-86,-92,-88
-85,-94,-76
-85,-92,-76
-85,-91,-76
-86,-91,-76
-85,-92,-76
-84,-93,-76
-84,-93,-76
-85,-92,-77
-84,-92,-88
-83,-92,-89
