-80,-89,-81
-78,-91,-83
-82,-94,-82
-84,-94,-89
-94,-91,-91
-96,-96,-88
-93,-92,-83
-79,-91,-82
-80,-91,-83
-80,-91,-87
-84,-97,-83
-94,-91,-83
-79,-90,-83
-79,-97,-82
-85,-90,-82
-84,-89,-82
-96,-90,-83
-92,-96,-82
-94,-90,-89
-94,-91,-90
-79,-91,-83
-79,-99,-82
-79,-98,-83
-93,-89,-88
-95,-98,-89
-94,-90,-82
-79,-98,-82
-79,-101,-82
-85,-91,-82
-85,-89,-91
-84,-89,-83
-94,-91,-82
-94,-92,-88
-79,-98,-90
-85,-99,-82
-93,-90,-82
-93,-100,-81
-79,-90,-82
-79,-90,-88
-79,-96,-82
-94,-88,-82
-93,-98,-82
-93,-98,-83
-79,-89,-82
-79,-89,-89
-79,-96,-90
-79,-90,-82
-84,-91,-82
-86,-99,-82
-85,-98,-82
-94,-89,-89
-80,-89,-89
-80,-99,-82
-79,-90,-83
-79,-100,-89
-84,-89,-82
-91,-99,-82
-95,-88,-82
-79,-89,-91
-79,-98,-89
-79,-90,-90
-79,-90,-82
-85,-90,-82
-85,-90,-82
-92,-90,-82
-92,-89,-89
-79,-90,-89
-79,-91,-86
-79,-90,-82
-79,-91,-83
-80,-90,-89
-84,-98,-89
-85,-90,-90
-85,-89,-82
-92,-99,-82
-93,-98,-82
-94,-99,-89
-79,-98,-82
-79,-89,-82
-79,-91,-89
-79,-90,-82
-93,-90,-82
-92,-99,-82
-79,-89,-90
-79,-98,-89
-84,-100,-82
-84,-96,-83
-92,-97,-90
-93,-91,-82
-93,-91,-82
-79,-90,-82
-79,-90,-82
-84,-89,-91
-93,-96,-91
-92,-98,-82
-91,-89,-82
-79,-98,-82
-79,-97,-90
-85,-98,-90
-92,-90,-83
